cycle,index,pc,instruction,rd,value
6,0,00000000,00006113,2,00000000
9,1,00000004,00406193,3,00000004
12,2,00000008,00106213,4,00000001
15,3,0000000c,000000b3,1,00000000
18,4,00000010,402182b3,5,00000004
21,5,00000014,00006313,6,00000000
24,6,00000018,000083b3,7,00000000
28,7,0000001c,0003a403,8,00000007
34,8,00000020,0043a483,9,00000003
39,9,00000024,0084a533,10,00000001
42,10,00000028,00050663,0,00000000
46,11,0000002c,0093a023,0,00000000
52,12,00000030,0083a223,0,00000000
57,13,00000034,003383b3,7,00000004
60,14,00000038,00430333,6,00000001
63,15,0000003c,00530463,0,00000000
66,16,00000040,fc000ee3,0,00000000
71,17,0000001c,0003a403,8,00000007
77,18,00000020,0043a483,9,00000009
82,19,00000024,0084a533,10,00000000
85,20,00000028,00050663,0,00000000
89,21,00000034,003383b3,7,00000008
92,22,00000038,00430333,6,00000002
95,23,0000003c,00530463,0,00000000
98,24,00000040,fc000ee3,0,00000000
103,25,0000001c,0003a403,8,00000009
109,26,00000020,0043a483,9,00000001
114,27,00000024,0084a533,10,00000001
117,28,00000028,00050663,0,00000000
121,29,0000002c,0093a023,0,00000000
127,30,00000030,0083a223,0,00000000
132,31,00000034,003383b3,7,0000000c
135,32,00000038,00430333,6,00000003
138,33,0000003c,00530463,0,00000000
141,34,00000040,fc000ee3,0,00000000
146,35,0000001c,0003a403,8,00000009
152,36,00000020,0043a483,9,00000005
157,37,00000024,0084a533,10,00000001
160,38,00000028,00050663,0,00000000
164,39,0000002c,0093a023,0,00000000
170,40,00000030,0083a223,0,00000000
175,41,00000034,003383b3,7,00000010
178,42,00000038,00430333,6,00000004
181,43,0000003c,00530463,0,00000000
185,44,00000044,00410133,2,00000001
188,45,00000048,00310463,0,00000000
191,46,0000004c,fc0002e3,0,00000000
195,47,00000010,402182b3,5,00000003
198,48,00000014,00006313,6,00000000
201,49,00000018,000083b3,7,00000000
205,50,0000001c,0003a403,8,00000003
211,51,00000020,0043a483,9,00000007
216,52,00000024,0084a533,10,00000000
219,53,00000028,00050663,0,00000000
223,54,00000034,003383b3,7,00000004
226,55,00000038,00430333,6,00000001
229,56,0000003c,00530463,0,00000000
232,57,00000040,fc000ee3,0,00000000
237,58,0000001c,0003a403,8,00000007
243,59,00000020,0043a483,9,00000001
248,60,00000024,0084a533,10,00000001
251,61,00000028,00050663,0,00000000
255,62,0000002c,0093a023,0,00000000
261,63,00000030,0083a223,0,00000000
266,64,00000034,003383b3,7,00000008
269,65,00000038,00430333,6,00000002
272,66,0000003c,00530463,0,00000000
275,67,00000040,fc000ee3,0,00000000
280,68,0000001c,0003a403,8,00000007
286,69,00000020,0043a483,9,00000005
291,70,00000024,0084a533,10,00000001
294,71,00000028,00050663,0,00000000
298,72,0000002c,0093a023,0,00000000
304,73,00000030,0083a223,0,00000000
309,74,00000034,003383b3,7,0000000c
312,75,00000038,00430333,6,00000003
315,76,0000003c,00530463,0,00000000
319,77,00000044,00410133,2,00000002
322,78,00000048,00310463,0,00000000
325,79,0000004c,fc0002e3,0,00000000
329,80,00000010,402182b3,5,00000002
332,81,00000014,00006313,6,00000000
335,82,00000018,000083b3,7,00000000
339,83,0000001c,0003a403,8,00000003
345,84,00000020,0043a483,9,00000001
350,85,00000024,0084a533,10,00000001
353,86,00000028,00050663,0,00000000
357,87,0000002c,0093a023,0,00000000
363,88,00000030,0083a223,0,00000000
368,89,00000034,003383b3,7,00000004
371,90,00000038,00430333,6,00000001
374,91,0000003c,00530463,0,00000000
377,92,00000040,fc000ee3,0,00000000
382,93,0000001c,0003a403,8,00000003
388,94,00000020,0043a483,9,00000005
393,95,00000024,0084a533,10,00000000
396,96,00000028,00050663,0,00000000
400,97,00000034,003383b3,7,00000008
403,98,00000038,00430333,6,00000002
406,99,0000003c,00530463,0,00000000
410,100,00000044,00410133,2,00000003
413,101,00000048,00310463,0,00000000
416,102,0000004c,fc0002e3,0,00000000
420,103,00000010,402182b3,5,00000001
423,104,00000014,00006313,6,00000000
426,105,00000018,000083b3,7,00000000
430,106,0000001c,0003a403,8,00000001
436,107,00000020,0043a483,9,00000003
441,108,00000024,0084a533,10,00000000
444,109,00000028,00050663,0,00000000
448,110,00000034,003383b3,7,00000004
451,111,00000038,00430333,6,00000001
454,112,0000003c,00530463,0,00000000
458,113,00000044,00410133,2,00000004
461,114,00000048,00310463,0,00000000
465,115,00000050,00000063,0,00000000
